Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,HK-LEAF1A,Ethernet1,spine,HK-SPINE1,Ethernet1
l3leaf,HK-LEAF1A,Ethernet2,spine,HK-SPINE2,Ethernet1
l3leaf,HK-LEAF1A,Ethernet3,mlag_peer,HK-LEAF1B,Ethernet3
l3leaf,HK-LEAF1A,Ethernet4,mlag_peer,HK-LEAF1B,Ethernet4
l3leaf,HK-LEAF1A,Ethernet5,server,server01,Eth1
l3leaf,HK-LEAF1A,Ethernet6,server,server02,Eth1
l3leaf,HK-LEAF1A,Ethernet7,server,server01,Eth4
l3leaf,HK-LEAF1A,Ethernet8,server,server01,Eth5
l3leaf,HK-LEAF1B,Ethernet1,spine,HK-SPINE1,Ethernet2
l3leaf,HK-LEAF1B,Ethernet2,spine,HK-SPINE2,Ethernet2
l3leaf,HK-LEAF1B,Ethernet3,mlag_peer,HK-LEAF1A,Ethernet3
l3leaf,HK-LEAF1B,Ethernet4,mlag_peer,HK-LEAF1A,Ethernet4
l3leaf,HK-LEAF2A,Ethernet1,spine,HK-SPINE1,Ethernet3
l3leaf,HK-LEAF2A,Ethernet2,spine,HK-SPINE2,Ethernet3
l3leaf,HK-LEAF2A,Ethernet3,mlag_peer,HK-LEAF2B,Ethernet3
l3leaf,HK-LEAF2A,Ethernet4,mlag_peer,HK-LEAF2B,Ethernet4
l3leaf,HK-LEAF2A,Ethernet10,server,server01,Eth2
l3leaf,HK-LEAF2A,Ethernet11,server,server02,Eth2
l3leaf,HK-LEAF2B,Ethernet1,spine,HK-SPINE1,Ethernet4
l3leaf,HK-LEAF2B,Ethernet2,spine,HK-SPINE2,Ethernet4
l3leaf,HK-LEAF2B,Ethernet3,mlag_peer,HK-LEAF2A,Ethernet3
l3leaf,HK-LEAF2B,Ethernet4,mlag_peer,HK-LEAF2A,Ethernet4
l3leaf,HK-LEAF2B,Ethernet10,server,server01,Eth3
l3leaf,HK-LEAF2B,Ethernet11,server,server02,Eth3
spine,HK-SPINE1,Ethernet1,l3leaf,HK-LEAF1A,Ethernet1
spine,HK-SPINE1,Ethernet2,l3leaf,HK-LEAF1B,Ethernet1
spine,HK-SPINE1,Ethernet3,l3leaf,HK-LEAF2A,Ethernet1
spine,HK-SPINE1,Ethernet4,l3leaf,HK-LEAF2B,Ethernet1
spine,HK-SPINE2,Ethernet1,l3leaf,HK-LEAF1A,Ethernet2
spine,HK-SPINE2,Ethernet2,l3leaf,HK-LEAF1B,Ethernet2
spine,HK-SPINE2,Ethernet3,l3leaf,HK-LEAF2A,Ethernet2
spine,HK-SPINE2,Ethernet4,l3leaf,HK-LEAF2B,Ethernet2
